N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,target
0.6994600892488188,-0.2088081307212417,-1.1421614002389988,-13.107749915838225,-0.1831527958854725,0.27918841037728365,0.12881086025776825,-0.028364723407615335,0.6794205646495458,0.6764197309482943,0.0722933086464336,-0.4698847914731987,1
-0.8385443316674289,-0.2910643055689032,0.06940901212574029,-0.5633322695358567,1.301348812870464,0.20382053930967192,0.5879983681979515,-0.056729446815230726,-0.6060140350940311,1.2710634385546757,-1.3620374309624748,2.592579024238478,0
-1.0841080627380904,-0.22251749319585198,1.7967154784024966,0.15009432646238105,-0.2538433486833743,0.5268257010280082,1.5019152529332687,-0.08982162412411535,-1.0189676625478854,1.3811826436669685,-1.3735859876420957,2.539777923967587,0
1.345680434171612,-0.2088081307212417,0.5851450660377576,-0.22643637698113295,-1.3142016406519006,0.06385163589839285,0.46539976170906777,-0.07563926242030765,-0.10922771635255203,0.852610459127963,1.0169652450394182,-0.4874851582301624,1
-0.5154341592060323,-0.38246005539963823,-0.3644641760859568,-0.22643637698113295,-0.8193677710665884,-0.5390913326425016,-1.1283821226464237,-0.0661843546177692,-0.06575891346267258,-0.13846238688267276,0.007621391240556637,-0.9274943271542538,0
-0.5154341592060323,-0.3184830305181237,-0.7082882120273016,-0.22643637698113295,0.45306217929564296,-0.5606250100903907,-0.40839394272079604,0.01418236170380776,1.6077899977976848,0.16987138743174723,0.6889862353381864,0.3397320793471297,0
1.0225702617102153,-0.2819247305858297,-1.7479466064213682,-0.2660711878699249,1.9375637880515795,0.27918841037728365,-0.7271503195918945,-0.10400398582792303,-0.15890634822669997,-0.689058412444137,0.0722933086464336,-0.71628992607069,1
1.0225702617102153,-0.149400893331264,0.33137018236676496,0.11045951557359084,0.45306217929564296,-0.24838668709599893,-0.07180504126949648,-0.09454907802538459,-0.45076831048731886,-1.041439868803474,-0.003927165439063956,-0.4698847914731987,1
0.7770065306395539,-0.19966855573816825,-0.8802002299979741,-0.6227844858690438,-0.1124622430875707,-0.45295662285094523,-0.2746500083692863,-0.10400398582792303,-0.39177493513676825,-0.689058412444137,0.7859941114470015,-0.3994833244453441,1
0.867477378928745,0.019681243855595817,-1.1421614002389988,-0.9398629729793725,-0.8193677710665884,0.06385163589839285,-0.5421378770723059,-0.15127852484061535,0.6111124458225926,-0.13846238688267276,-1.133376008705982,-0.6634888257997991,2
0.053239744326025636,-0.4327277178065425,-0.8802002299979741,0.15009432646238105,0.5237527320935448,0.2899552491012282,0.922358204076726,0.0330921773088847,-1.0872757813748388,0.1918952284542058,-0.2071817630003909,1.395754084764949,1
0.5443672064673484,-0.2682153681112195,0.5032822003374374,0.13027692101798594,-0.7486772182686866,0.0530847971744483,-0.058430647834345595,0.06618435461776931,-1.0810659523905701,-0.006319340747921472,-1.4359481937120482,2.1173691218004596,1
0.5443672064673484,-0.3002038805519767,-0.27441502381560456,-0.18680156609234275,-0.8193677710665884,-0.29145404199177716,0.2982198437696806,-0.061456900716499965,-0.27999801341993535,-0.38072463812971696,0.25014108151259445,-0.7866913930985446,1
-0.11477754535390057,4.050233811391009,-0.3644641760859568,-0.20661897153673786,-0.607296112672883,0.27918841037728365,-0.7449828441720958,0.01418236170380776,0.7353090255079622,-0.9092968226687226,0.5550229778545847,-0.6634888257997991,1
